node,tiplabel,Group
123,Brassica,Embryophyta
124,Brassica,Embryophyta
125,Brassica,Embryophyta
126,Brassica,Embryophyta
127,Eutrema,Embryophyta
128,Arabis,Embryophyta
129,Arabidopsis,Embryophyta
130,Capsella,Embryophyta
131,Camelina,Embryophyta
132,Camelina,Embryophyta
133,Camelina,Embryophyta
134,Arabidopsis,Embryophyta
135,Arabis,Embryophyta
136,Brassica,Embryophyta
137,Eutrema,Embryophyta
138,Brassica,Embryophyta
139,Capsella,Embryophyta
140,Arabidopsis,Embryophyta
141,Arabidopsis,Embryophyta
142,Arabidopsis,Embryophyta
143,Camelina,Embryophyta
144,Lotus,Embryophyta
145,Medicago,Embryophyta
146,Medicago,Embryophyta
147,Cicer,Embryophyta
148,Phaseolus,Embryophyta
149,Glycine,Embryophyta
150,Glycine,Embryophyta
151,Glycine,Embryophyta
152,Erythranthe,Embryophyta
153,Sesamum,Embryophyta
154,Erythranthe,Embryophyta
155,Sesamum,Embryophyta
156,Genlisea,Embryophyta
157,Malus,Embryophyta
158,Pyrus,Embryophyta
159,Malus,Embryophyta
160,Pyrus,Embryophyta
161,Prunus,Embryophyta
162,Prunus,Embryophyta
163,Cucumis,Embryophyta
164,Cucumis,Embryophyta
165,Morus,Embryophyta
166,Citrus,Embryophyta
167,Citrus,Embryophyta
168,Citrus,Embryophyta
169,Camellia,Embryophyta
170,Beta,Embryophyta
171,Alternanthera,Embryophyta
172,Nicotiana,Embryophyta
173,Solanum,Embryophyta
174,Solanum,Embryophyta
175,Coffea,Embryophyta
176,Theobroma,Embryophyta
177,Vitis,Embryophyta
178,Eucalyptus,Embryophyta
179,Jatropha,Embryophyta
180,Ricinus,Embryophyta
181,Populus,Embryophyta
182,Citrus,Embryophyta
183,Coffea,Embryophyta
184,Nicotiana,Embryophyta
185,Phaseolus,Embryophyta
186,Lotus,Embryophyta
187,Cicer,Embryophyta
188,Medicago,Embryophyta
189,Medicago,Embryophyta
190,Beta,Embryophyta
191,Populus,Embryophyta
192,Ricinus,Embryophyta
193,Theobroma,Embryophyta
194,Jatropha,Embryophyta
195,Fragaria,Embryophyta
196,Malus,Embryophyta
197,Pyrus,Embryophyta
198,Prunus,Embryophyta
199,Prunus,Embryophyta
200,Eucalyptus,Embryophyta
201,Cucumis,Embryophyta
202,Tarenaya,Embryophyta
203,Eutrema,Embryophyta
204,Brassica,Embryophyta
205,Brassica,Embryophyta
206,Capsella,Embryophyta
207,Arabidopsis,Embryophyta
208,Arabidopsis,Embryophyta
209,Camelina,Embryophyta
210,Camelina,Embryophyta
211,Arabis,Embryophyta
212,Nelumbo,Embryophyta
213,Nelumbo,Embryophyta
214,Nelumbo,Embryophyta
215,Nicotiana,Embryophyta
216,Solanum,Embryophyta
217,Solanum,Embryophyta
218,Coffea,Embryophyta
219,Erythranthe,Embryophyta
220,Erythranthe,Embryophyta
221,Sesamum,Embryophyta
222,Sesamum,Embryophyta
223,Sesamum,Embryophyta
224,Erythranthe,Embryophyta
225,Jatropha,Embryophyta
226,Ricinus,Embryophyta
227,Citrus,Embryophyta
228,Populus,Embryophyta
229,Populus,Embryophyta
230,fabids,Embryophyta
231,Populus,Embryophyta
232,Dionaea,Embryophyta
233,Beta,Embryophyta
234,Beta,Embryophyta
235,Nepenthes,Embryophyta
236,Cucumis,Embryophyta
237,Cucumis,Embryophyta
238,Cucumis,Embryophyta
239,Cucumis,Embryophyta
240,Fragaria,Embryophyta
241,Pyrus,Embryophyta
242,Prunus,Embryophyta
243,Prunus,Embryophyta
244,Medicago,Embryophyta
245,Cicer,Embryophyta
246,Phaseolus,Embryophyta
247,Glycine,Embryophyta
248,Glycine,Embryophyta
249,Glycine,Embryophyta
250,Glycine,Embryophyta
251,Lotus,Embryophyta
252,Morus,Embryophyta
253,Vitis,Embryophyta
254,Eucalyptus,Embryophyta
255,Eucalyptus,Embryophyta
256,Eucalyptus,Embryophyta
257,Tarenaya,Embryophyta
258,Camelina,Embryophyta
259,Camelina,Embryophyta
